osm_id,name,city,state,lat,lon
450913548,Mini Ramp Jardim Casagrande,,,-22.3798858,-46.9436003
450913549,Mini Ramp Jardim Nossa Senhora das Graças,,,-22.3619642,-46.9517018
452300655,,,,-21.7157344,-48.0259302
452300678,,,,-21.7177484,-48.0262709
452715115,Trinda Times,,,-27.5893434,-48.5173707
456073039,,,,-23.2608793,-51.049178
461276525,,,,-23.502374,-46.6935101
461988894,,,,-23.7536842,-46.5804902
462559553,,,,-23.5692526,-46.5032051
464132848,,,,-23.1227234,-46.5553578
468482831,,,,-23.4937923,-46.7884415
468754738,,,,-29.3394279,-49.7241159
468786740,,,,-26.2236527,-48.5190557
469554461,Skate Park,,,-3.7053722,-40.3325792
470060611,,,,-28.4777574,-48.9923117
471155660,,,,-3.6801946,-40.3568428
472238209,,,,-29.1720952,-51.1793508
472442436,Pista de Skate Vila A,,,-25.4961056,-54.5592944
472759778,,,,-15.8359643,-48.0388169
473027658,Praça do Skate,,,-23.6088253,-46.8454813
473140571,,,,-23.6468926,-47.5738305
473193806,Pista de Skate Sarandi,,,-23.4455309,-51.8788662
473447998,,,,-22.6144263,-50.6727386
473453174,Pista de Skate Daiana Borchardt,,,-26.7473736,-49.179215
474054867,,,,-13.0866373,-55.9069669
474212257,Garden,,,-23.0306053,-45.5755074
474260602,,,,-25.4761975,-49.5310824
474260607,,,,-25.4630535,-49.5269506
474265126,Pista de Skate - Iniciante,,,-23.5201244,-46.643517
477691034,,,,-25.5892705,-49.3447421
478183614,,,,-25.5929564,-49.3945207
478234365,,,,-25.5660514,-49.3385033
478521247,,,,-22.3667514,-48.3889603
479403069,HalfPipe Colina de Laranjerias,,,-20.187645,-40.2579907
479403071,Corrimão de Skate,,,-20.1879336,-40.2582023
479409079,Hal de Skate do Parque da Cidade,,,-20.2023531,-40.2614037
479601881,,,,-23.5353887,-46.7644648
481898045,,,,-23.7014293,-46.5679182
482249933,,,,-15.8876353,-48.0128701
482496170,,,,-23.0108585,-43.4552104
482939181,Quadra Poliesportiva Professor Inácio de Loyola Azevêdo,,,-6.6946558,-36.6570551
484298327,,,,-28.3238537,-49.1762544
484941562,,,,-28.9691479,-51.0603185
486118741,,,,-20.5632234,-48.5828458
488466467,,,,-8.0978476,-34.8832594
489956448,,,,-22.9140607,-46.5546971
490781446,,,,-29.1685733,-51.1988209
491005021,,,,-23.5064718,-46.6174412
491940497,,,,-26.9024233,-49.0680344
492859123,,,,-29.4412845,-50.5824738
493035250,,,,-22.1177573,-43.2037875
493683982,Pista de Skate Feirão do São Luís,,,-23.6529301,-46.7366651
493734456,Pista de skate,,,-22.8942812,-49.6204757
495967897,,,,-22.8527994,-46.326302
497156207,,,,-22.5706243,-47.1683858
501477286,,,,-19.9445733,-44.1282572
501803649,Pista de skate,,,-5.6470804,-35.4204602
502794662,,,,-5.6389723,-35.4311098
503890922,,,,-23.6814563,-46.5047287
503890923,,,,-23.6818365,-46.5049392
503890924,,,,-23.6815957,-46.5047764
503992120,,,,-25.4241173,-49.1832885
504069349,Pista de Skate,,,-23.1307982,-46.4663259
